idShow,Title,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,idYear,idRate
0,Breaking Bad,18+,96%,1,0,0,0,1,0,0
1,Stranger Things,16+,93%,1,0,0,0,1,1,1
2,Money Heist,18+,91%,1,0,0,0,1,2,2
3,Sherlock,16+,78%,1,0,0,0,1,3,3
4,Better Call Saul,18+,97%,1,0,0,0,1,4,4
5,The Office,16+,81%,1,0,0,0,1,5,5
6,Black Mirror,18+,83%,1,0,0,0,1,6,6
7,Supernatural,16+,93%,1,0,0,0,1,7,7
8,Peaky Blinders,18+,92%,1,0,0,0,1,8,8
9,Avatar: The Last Airbender,7+,100%,1,0,0,0,1,9,9
10,The Walking Dead,18+,81%,1,0,0,0,1,10,10
